timestamp,gyrx,gyry,gyrz
11:19:27.839,17.01,-21.35,120.12
11:19:28.083,17.25,-21.45,118.42
11:19:28.230,16.1,-22.71,117.87
11:19:28.473,15.97,-21.08,118.89
11:19:28.620,17.67,-23.36,115.92
11:19:28.815,19.89,-24.13,113.11
11:19:29.009,21.55,-25.93,115.96
11:19:29.204,17.91,-29.16,122.69
11:19:29.399,21.56,-37.69,126.98
11:19:29.594,22.37,-29.85,146.51
11:19:29.792,22.35,-28.78,163.73
11:19:29.986,19.68,-17.61,-162.66
11:19:30.180,-174.26,-7.3,-139.63
11:19:30.375,-4.29,29.42,-164.71
11:19:30.571,3.54,6.55,162.92
11:19:30.815,-4.54,-8.54,-162.45
11:19:31.009,12.04,-15.51,-161.02
11:19:31.155,-0.57,-2.29,-153.84
11:19:31.349,-14.05,-27.92,-140.12
11:19:31.594,27.87,-36.61,179.78
11:19:31.741,51.39,-38.36,159.34
11:19:31.935,46.22,-45.55,149.98
11:19:32.179,44.72,-49.83,154.9
11:19:32.374,48.92,-65.83,146.81
11:19:32.569,53.01,-70.84,144.8
11:19:32.765,45.56,-73.41,146.24
11:19:33.010,57.81,-65.05,132.55
11:19:33.153,73.19,-60.44,112.46
11:19:33.350,73.05,-53.59,101.77
11:19:33.546,76.27,-45.93,88.64
11:19:33.739,82.1,-31.31,75.22
11:19:33.934,91.65,-21.38,66.84
11:19:34.129,89.3,-3.57,52.66
11:19:34.324,94.55,16.48,49.64
11:19:34.562,94.71,18.38,47.0
11:19:34.714,88.92,13.79,52.33
11:19:34.958,83.61,12.06,51.19
11:19:35.104,74.84,12.85,25.28
11:19:35.299,77.11,0.4,23.19
11:19:35.496,79.22,-5.12,13.89
11:19:35.691,84.84,-13.9,10.37
11:19:35.885,86.82,-15.58,8.92
11:19:36.081,84.53,-17.05,2.24
11:19:36.276,83.64,-17.33,-1.57
11:19:36.566,82.22,-16.25,-6.5
11:19:36.713,81.08,-15.27,-9.65
11:19:36.909,83.03,-13.66,-15.22
11:19:37.104,76.46,-14.81,-11.15
11:19:37.299,75.69,-6.91,12.81
11:19:37.493,79.35,4.75,40.18
11:19:37.687,62.17,14.04,31.75
11:19:37.883,46.19,15.47,16.95
11:19:38.078,54.44,24.76,2.31
11:19:38.273,29.59,14.7,-19.19
11:19:38.468,11.04,20.3,-28.67
11:19:38.663,3.46,11.41,-18.7
11:19:38.858,17.68,-7.54,-18.74
11:19:39.053,17.89,-10.64,-12.86
11:19:39.247,21.1,-4.42,0.48
11:19:39.443,28.76,3.58,7.96
11:19:39.638,29.56,2.12,4.74
11:19:39.834,35.13,-3.15,-1.41
11:19:40.027,34.93,-7.25,-6.07
11:19:40.223,40.15,5.73,-1.89
11:19:40.418,38.32,3.04,-4.4
11:19:40.661,37.4,6.46,-2.25
11:19:40.856,39.25,11.45,-3.31
11:19:41.053,41.43,15.26,-10.46
11:19:41.247,37.39,0.1,-21.42
11:19:41.443,38.63,6.24,-22.72
11:19:41.636,39.31,4.95,-29.48
11:19:41.831,36.72,3.34,-31.95
11:19:42.029,39.69,4.74,-31.35
11:19:42.222,38.71,4.54,-33.87
11:19:42.417,38.16,5.89,-36.16
11:19:42.612,38.75,6.24,-38.01
11:19:42.807,39.37,6.33,-40.0
11:19:43.007,39.43,6.35,-42.14
11:19:43.197,39.38,6.88,-45.52
11:19:43.440,38.91,7.33,-47.52
11:19:43.586,39.06,7.02,-49.92
11:19:43.785,38.94,6.91,-52.05
11:19:43.977,38.69,6.14,-54.33
11:19:44.172,39.37,6.01,-55.19
11:19:44.367,40.66,6.43,-56.27
11:19:44.562,41.26,6.51,-57.25
11:19:44.759,41.5,6.81,-56.93
11:19:45.001,40.22,9.48,-61.77
11:19:45.196,41.75,9.51,-60.99
11:19:45.390,42.25,10.47,-62.98
11:19:45.587,43.13,11.66,-63.85
11:19:45.781,42.88,11.81,-65.38
11:19:45.975,41.74,15.87,-62.78
11:19:46.171,42.34,14.98,-67.96
11:19:46.367,46.98,10.16,-66.31
11:19:46.561,50.7,-4.72,-70.96
11:19:46.755,50.0,-11.53,-61.32
11:19:46.951,47.01,-18.7,-61.71
11:19:47.146,52.89,-26.34,-68.47
11:19:47.342,56.6,-29.13,-70.61
11:19:47.536,54.73,-36.22,-86.25
11:19:47.731,44.55,-24.25,-88.73
11:19:47.927,42.82,-29.46,-102.19
11:19:48.121,44.12,-39.83,-116.64
11:19:48.315,40.85,-41.92,-121.19
11:19:48.511,43.91,-45.66,-129.23
11:19:48.756,39.59,-43.37,-129.97
11:19:48.949,38.11,-41.94,-128.84
11:19:49.097,34.7,-45.01,-130.6
11:19:49.340,26.26,-48.73,-131.07
11:19:49.537,26.76,-45.47,-132.65
11:19:49.730,29.42,-46.01,-135.4
11:19:49.973,26.61,-43.43,-133.76
11:19:50.119,26.63,-42.64,-136.0
11:19:50.314,25.66,-41.27,-137.99
11:19:50.509,25.51,-40.6,-139.7
11:19:50.754,25.47,-39.04,-140.41
11:19:50.997,25.45,-39.17,-143.15
11:19:51.094,24.54,-39.32,-145.53
