timestamp,accx,accy,accz
11:03:04.526,-0.88,0.361,0.461
11:03:04.727,-0.881,0.416,0.41
11:03:04.917,-0.781,0.321,0.465
11:03:05.114,-0.674,0.248,0.484
11:03:05.307,-0.726,0.389,0.526
11:03:05.504,-0.737,0.407,0.57
11:03:05.746,-0.898,0.308,0.588
11:03:05.941,-1.184,-0.375,0.181
11:03:06.136,-1.029,-0.209,0.283
11:03:06.331,-0.798,-0.333,0.145
11:03:06.527,-0.844,-0.525,0.28
11:03:06.721,-0.751,-0.548,0.287
11:03:06.917,-0.852,-0.634,0.316
11:03:07.112,-0.731,-0.547,0.317
11:03:07.309,-0.586,-0.649,0.449
11:03:07.502,-0.66,-0.573,0.587
11:03:07.700,-0.474,-0.507,0.643
11:03:07.892,-0.394,-0.529,0.782
11:03:08.089,-0.282,-0.536,0.789
11:03:08.281,-0.366,-0.257,0.891
11:03:08.478,-0.016,-0.069,0.777
11:03:08.672,-0.017,0.228,0.891
11:03:08.867,0.149,0.479,1.096
11:03:09.062,0.284,0.224,1.075
11:03:09.257,-0.356,-0.189,0.77
11:03:09.453,-0.464,-0.31,0.989
11:03:09.647,-0.381,-0.276,0.985
11:03:09.842,-0.133,-0.949,-0.628
11:03:10.085,-0.432,-0.707,-0.595
11:03:10.281,-0.279,-0.585,-0.718
11:03:10.489,-0.155,-0.621,-0.749
11:03:10.670,-0.114,-0.708,-0.796
11:03:10.866,0.1,-0.576,-0.847
11:03:11.061,-0.03,-0.471,-0.738
11:03:11.260,-0.601,-0.844,-0.372
11:03:11.451,-0.893,-0.369,0.618
11:03:11.645,-0.479,-0.503,0.285
11:03:11.841,-0.611,-0.305,0.696
11:03:12.036,-0.787,-0.259,0.747
11:03:12.231,-0.68,-0.196,0.753
11:03:12.426,-0.761,-0.091,0.647
11:03:12.621,-0.746,-0.142,0.635
11:03:12.815,-0.831,-0.077,0.543
11:03:13.011,-0.95,0.053,0.454
11:03:13.206,-0.886,0.064,0.38
11:03:13.402,-0.949,0.122,0.3
11:03:13.596,-0.915,0.169,0.361
11:03:13.791,-0.915,0.136,0.326
11:03:13.985,-0.894,0.076,0.29
11:03:14.182,-0.982,0.058,0.288
11:03:14.426,-0.948,0.081,0.319
11:03:14.619,-0.975,0.001,0.268
11:03:14.815,-1.031,0.01,0.258
11:03:15.009,-0.977,0.073,0.246
11:03:15.205,-0.991,0.07,0.183
11:03:15.400,-1.013,0.145,0.2
11:03:15.595,-0.977,0.121,0.165
11:03:15.790,-0.964,0.154,0.203
11:03:15.985,-0.971,0.163,0.226
11:03:16.180,-0.958,0.097,0.222
11:03:16.375,-0.967,0.099,0.236
11:03:16.570,-0.958,0.068,0.259
11:03:16.766,-0.95,0.077,0.256
11:03:16.960,-0.971,0.085,0.243
11:03:17.154,-0.936,0.143,0.227
11:03:17.350,-0.918,0.3,0.188
11:03:17.544,-0.948,0.235,0.218
11:03:17.739,-0.941,0.113,0.244
11:03:17.934,-0.958,0.243,0.211
11:03:18.130,-0.923,0.03,0.291
11:03:18.324,-0.996,0.114,0.22
11:03:18.519,-0.945,0.117,0.29
11:03:18.763,-0.958,0.112,0.241
11:03:18.957,-0.949,0.146,0.262
11:03:19.154,-0.925,0.08,0.349
11:03:19.349,-0.947,0.082,0.106
11:03:19.560,-0.924,0.112,0.191
11:03:19.738,-1.006,0.044,0.171
11:03:19.933,-0.977,0.171,0.031
11:03:20.128,-0.942,0.119,0.209
11:03:20.324,-0.986,0.101,0.166
11:03:20.519,-0.984,0.15,0.197
11:03:20.714,-0.852,0.08,0.296
11:03:20.908,-0.978,0.098,0.221
11:03:21.103,-1.087,0.131,0.207
11:03:21.299,-0.928,0.084,0.312
11:03:21.494,-1.022,0.064,0.156
11:03:21.689,-1.009,0.189,0.199
11:03:21.883,-0.984,0.115,0.233
11:03:22.079,-0.993,0.194,0.09
11:03:22.273,-0.953,0.199,0.125
11:03:22.470,-0.988,0.246,0.104
11:03:22.664,-0.975,0.239,0.103
11:03:22.859,-0.984,0.188,0.106
11:03:23.103,-0.966,0.184,0.106
11:03:23.298,-0.963,0.194,0.124
11:03:23.494,-0.962,0.215,0.098
11:03:23.688,-0.97,0.23,0.124
11:03:23.883,-0.952,0.232,0.114
11:03:24.078,-0.956,0.231,0.127
11:03:24.272,-0.99,0.215,0.165
11:03:24.467,-0.935,0.106,0.11
11:03:24.663,-0.987,0.119,0.089
11:03:24.858,-0.944,0.165,0.116
11:03:25.053,-0.955,0.229,0.12
11:03:25.247,-0.975,0.194,0.178
11:03:25.442,-0.977,0.205,0.162
11:03:25.638,-0.941,0.169,0.217
11:03:25.832,-0.949,0.166,0.197
11:03:26.029,-0.998,0.176,0.148
11:03:26.222,-0.971,0.137,0.133
11:03:26.418,-0.981,0.159,0.156
11:03:26.611,-0.963,0.155,0.197
11:03:26.807,-0.957,0.156,0.221
11:03:27.004,-0.955,0.115,0.231
11:03:27.199,-0.945,0.148,0.259
11:03:27.441,-0.94,0.152,0.259
11:03:27.636,-0.938,0.147,0.271
11:03:27.833,-0.967,0.161,0.286
11:03:28.026,-0.979,0.119,0.272
11:03:28.221,-0.937,0.208,0.266
11:03:28.416,-0.948,0.187,0.248
11:03:28.611,-0.967,0.169,0.254
11:03:28.805,-0.943,0.179,0.229
11:03:29.001,-0.959,0.248,0.207
11:03:29.196,-0.935,0.231,0.204
11:03:29.390,-0.952,0.142,0.21
11:03:29.586,-0.965,0.131,0.175
11:03:29.780,-0.969,0.142,0.151
11:03:29.978,-0.901,0.237,0.348
11:03:30.171,-1.034,0.046,0.123
11:03:30.366,-0.991,-0.121,-0.208
11:03:30.561,-0.762,-0.202,-0.382
11:03:30.756,-0.627,-0.06,-0.668
11:03:30.951,-0.522,-0.105,-0.789
11:03:31.146,-0.602,-0.117,-0.786
11:03:31.341,-0.653,-0.166,-0.769
11:03:31.536,-0.732,-0.114,-0.674
11:03:31.783,-0.61,-0.091,-0.817
11:03:31.974,-0.736,-0.211,-0.642
11:03:32.170,-0.764,-0.088,-0.684
11:03:32.365,-0.704,-0.249,-0.555
11:03:32.560,-0.836,-0.18,-0.641
11:03:32.754,-0.743,-0.24,-0.558
11:03:32.951,-0.639,-0.23,-0.52
11:03:33.145,-1.045,0.192,0.758
11:03:33.341,-0.85,0.165,0.769
11:03:33.535,-0.812,0.22,0.617
11:03:33.730,-0.631,0.312,0.558
11:03:33.925,-0.633,0.317,0.713
11:03:34.124,-0.838,0.278,0.521
11:03:34.317,-0.798,0.297,0.456
11:03:34.510,-0.871,0.22,0.446
11:03:34.705,-0.771,0.361,0.466
11:03:34.900,-0.803,0.312,0.435
11:03:35.096,-0.884,0.111,0.405
11:03:35.290,-0.949,0.156,0.4
11:03:35.485,-0.913,0.028,0.475
11:03:35.682,-0.929,-0.021,0.127
11:03:35.875,-0.934,0.122,0.498
11:03:36.119,-0.89,0.128,0.386
11:03:36.314,-0.895,0.157,0.46
11:03:36.511,-0.965,0.006,0.395
11:03:36.703,-0.879,0.173,0.554
11:03:36.898,-0.863,0.195,0.296
11:03:37.094,-0.932,0.123,0.27
11:03:37.292,-0.964,0.12,0.437
11:03:37.484,-0.916,0.09,0.371
11:03:37.679,-0.842,0.101,0.397
11:03:37.873,-0.901,0.153,0.499
11:03:38.069,-0.914,0.125,0.372
11:03:38.263,-0.908,0.182,0.441
11:03:38.459,-0.854,0.107,0.346
11:03:38.656,-0.896,0.152,0.435
11:03:38.849,-0.922,0.167,0.484
11:03:39.044,-0.869,0.175,0.466
11:03:39.238,-0.884,0.137,0.395
11:03:39.433,-0.465,-0.184,1.042
11:03:39.629,-0.722,-0.101,0.521
11:03:39.823,-0.781,0.028,0.826
11:03:40.019,-0.418,-0.043,0.656
11:03:40.213,-0.499,0.002,0.773
11:03:40.458,-0.775,0.071,0.692
11:03:40.652,-0.929,-0.253,0.668
11:03:40.848,-0.775,-0.292,0.737
11:03:41.042,-0.401,-0.164,0.832
11:03:41.239,-0.141,-0.85,1.015
11:03:41.432,0.238,-0.442,0.854
11:03:41.627,-0.29,0.065,1.108
11:03:41.822,-0.091,-0.27,0.749
11:03:42.018,-0.358,-0.281,0.992
11:03:42.213,-0.45,0.008,0.709
11:03:42.407,-0.315,-0.335,0.917
11:03:42.603,-0.237,-0.428,0.878
11:03:42.798,-0.414,-0.368,0.876
11:03:42.992,-0.318,-0.412,0.876
11:03:43.187,-0.241,-0.348,0.875
11:03:43.383,-0.363,-0.798,1.25
11:03:43.578,-0.145,-1.476,1.999
11:03:43.774,-0.176,-0.455,0.892
11:03:43.968,-0.091,-0.404,0.928
11:03:44.164,-0.126,-0.356,0.934
11:03:44.359,-0.199,-0.338,0.916
11:03:44.553,-0.151,-0.351,0.924
11:03:44.797,-0.195,-0.312,0.937
11:03:44.992,-0.22,-0.28,0.921
11:03:45.187,-0.128,-0.224,0.951
11:03:45.382,-0.171,-0.258,0.962
11:03:45.577,-0.191,-0.254,0.962
11:03:45.772,-0.187,-0.244,0.971
11:03:45.966,-0.199,-0.243,0.937
11:03:46.163,-0.197,-0.235,0.95
11:03:46.357,-0.191,-0.25,0.975
11:03:46.552,-0.175,-0.243,0.952
11:03:46.747,-0.222,-0.247,0.946
11:03:46.942,-0.187,-0.248,0.947
11:03:47.137,-0.223,-0.259,0.947
11:03:47.332,-0.194,-0.249,0.945
11:03:47.527,-0.201,-0.269,0.958
11:03:47.721,-0.204,-0.25,0.946
11:03:47.916,-0.223,-0.249,0.957
11:03:48.114,-0.203,-0.266,0.957
11:03:48.306,-0.214,-0.254,0.953
11:03:48.501,-0.21,-0.247,0.941
11:03:48.697,-0.22,-0.252,0.951
11:03:48.891,-0.23,-0.269,0.964
11:03:49.135,-0.224,-0.242,0.957
11:03:49.330,-0.195,-0.296,1.005
11:03:49.525,-0.223,-0.225,0.956
